{'loss': '0.2348', 'grad_norm': '0.6887', 'learning_rate': '7.723e-05', 'entropy': '0.2509', 'num_tokens': '2.167e+05', 'mean_token_accuracy': '0.9449', 'epoch': '1.146'}
{'loss': '0.1225', 'grad_norm': '0.5452', 'learning_rate': '7.343e-05', 'entropy': '0.1379', 'num_tokens': '2.533e+05', 'mean_token_accuracy': '0.9755', 'epoch': '1.336'}
{'loss': '0.1883', 'grad_norm': '0.8455', 'learning_rate': '7.328e-05', 'entropy': '0.2147', 'num_tokens': '2.545e+05', 'mean_token_accuracy': '0.9542', 'epoch': '1.343'}
{'loss': '0.3294', 'grad_norm': '0.5577', 'learning_rate': '7.314e-05', 'entropy': '0.2927', 'num_tokens': '2.562e+05', 'mean_token_accuracy': '0.9339', 'epoch': '1.35'}
{'loss': '0.3182', 'grad_norm': '0.833', 'learning_rate': '7.299e-05', 'entropy': '0.3202', 'num_tokens': '2.575e+05', 'mean_token_accuracy': '0.9314', 'epoch': '1.358'}
{'loss': '0.227', 'grad_norm': '0.5147', 'learning_rate': '7.285e-05', 'entropy': '0.2435', 'num_tokens': '2.591e+05', 'mean_token_accuracy': '0.947', 'epoch': '1.365'}
{'loss': '0.1639', 'grad_norm': '0.6267', 'learning_rate': '7.27e-05', 'entropy': '0.2028', 'num_tokens': '2.603e+05', 'mean_token_accuracy': '0.963', 'epoch': '1.372'}
{'loss': '0.1941', 'grad_norm': '0.4809', 'learning_rate': '7.255e-05', 'entropy': '0.2098', 'num_tokens': '2.618e+05', 'mean_token_accuracy': '0.9568', 'epoch': '1.38'}
{'loss': '0.2339', 'grad_norm': '0.6472', 'learning_rate': '7.241e-05', 'entropy': '0.2397', 'num_tokens': '2.633e+05', 'mean_token_accuracy': '0.9512', 'epoch': '1.387'}
{'loss': '0.1294', 'grad_norm': '0.6911', 'learning_rate': '7.226e-05', 'entropy': '0.1416', 'num_tokens': '2.645e+05', 'mean_token_accuracy': '0.9711', 'epoch': '1.394'}
{'loss': '0.07534', 'grad_norm': '0.4972', 'learning_rate': '7.212e-05', 'entropy': '0.1206', 'num_tokens': '2.66e+05', 'mean_token_accuracy': '0.9788', 'epoch': '1.401'}
{'loss': '0.4077', 'grad_norm': '1.077', 'learning_rate': '7.197e-05', 'entropy': '0.3153', 'num_tokens': '2.676e+05', 'mean_token_accuracy': '0.9188', 'epoch': '1.409'}
{'loss': '0.2064', 'grad_norm': '0.5833', 'learning_rate': '7.182e-05', 'entropy': '0.2291', 'num_tokens': '2.69e+05', 'mean_token_accuracy': '0.9492', 'epoch': '1.416'}
{'loss': '0.0576', 'grad_norm': '0.5812', 'learning_rate': '7.168e-05', 'entropy': '0.103', 'num_tokens': '2.703e+05', 'mean_token_accuracy': '0.9814', 'epoch': '1.423'}
{'loss': '0.1143', 'grad_norm': '0.5619', 'learning_rate': '7.153e-05', 'entropy': '0.1479', 'num_tokens': '2.717e+05', 'mean_token_accuracy': '0.9721', 'epoch': '1.431'}
{'loss': '0.162', 'grad_norm': '0.6616', 'learning_rate': '7.139e-05', 'entropy': '0.1845', 'num_tokens': '2.729e+05', 'mean_token_accuracy': '0.9599', 'epoch': '1.438'}
{'loss': '0.1984', 'grad_norm': '0.8094', 'learning_rate': '7.124e-05', 'entropy': '0.2062', 'num_tokens': '2.742e+05', 'mean_token_accuracy': '0.9549', 'epoch': '1.445'}
{'loss': '0.1338', 'grad_norm': '0.7794', 'learning_rate': '7.109e-05', 'entropy': '0.1592', 'num_tokens': '2.756e+05', 'mean_token_accuracy': '0.9709', 'epoch': '1.453'}
{'loss': '0.1899', 'grad_norm': '0.6715', 'learning_rate': '7.095e-05', 'entropy': '0.2362', 'num_tokens': '2.769e+05', 'mean_token_accuracy': '0.9512', 'epoch': '1.46'}
{'loss': '0.3195', 'grad_norm': '0.9774', 'learning_rate': '7.08e-05', 'entropy': '0.2689', 'num_tokens': '2.782e+05', 'mean_token_accuracy': '0.9412', 'epoch': '1.467'}
{'loss': '0.1295', 'grad_norm': '0.5318', 'learning_rate': '7.066e-05', 'entropy': '0.1755', 'num_tokens': '2.795e+05', 'mean_token_accuracy': '0.9675', 'epoch': '1.474'}
{'loss': '0.1114', 'grad_norm': '0.5446', 'learning_rate': '7.051e-05', 'entropy': '0.1218', 'num_tokens': '2.809e+05', 'mean_token_accuracy': '0.9725', 'epoch': '1.482'}
{'loss': '0.1', 'grad_norm': '0.7697', 'learning_rate': '7.036e-05', 'entropy': '0.1249', 'num_tokens': '2.822e+05', 'mean_token_accuracy': '0.9709', 'epoch': '1.489'} 
{'loss': '0.1201', 'grad_norm': '0.6583', 'learning_rate': '7.022e-05', 'entropy': '0.1646', 'num_tokens': '2.836e+05', 'mean_token_accuracy': '0.9697', 'epoch': '1.496'}
{'loss': '0.1297', 'grad_norm': '0.7885', 'learning_rate': '7.007e-05', 'entropy': '0.1529', 'num_tokens': '2.85e+05', 'mean_token_accuracy': '0.9629', 'epoch': '1.504'}
{'loss': '0.2249', 'grad_norm': '1.027', 'learning_rate': '6.993e-05', 'entropy': '0.2286', 'num_tokens': '2.862e+05', 'mean_token_accuracy': '0.9505', 'epoch': '1.511'}
{'loss': '0.09952', 'grad_norm': '0.8087', 'learning_rate': '6.978e-05', 'entropy': '0.1266', 'num_tokens': '2.876e+05', 'mean_token_accuracy': '0.9742', 'epoch': '1.518'}
{'loss': '0.1866', 'grad_norm': '0.7383', 'learning_rate': '6.964e-05', 'entropy': '0.1914', 'num_tokens': '2.889e+05', 'mean_token_accuracy': '0.9551', 'epoch': '1.526'}
{'loss': '0.1696', 'grad_norm': '0.7999', 'learning_rate': '6.949e-05', 'entropy': '0.1632', 'num_tokens': '2.903e+05', 'mean_token_accuracy': '0.9667', 'epoch': '1.533'}
{'loss': '0.1636', 'grad_norm': '0.6195', 'learning_rate': '6.934e-05', 'entropy': '0.18', 'num_tokens': '2.918e+05', 'mean_token_accuracy': '0.9664', 'epoch': '1.54'} 
{'loss': '0.06787', 'grad_norm': '0.5309', 'learning_rate': '6.92e-05', 'entropy': '0.09309', 'num_tokens': '2.93e+05', 'mean_token_accuracy': '0.9811', 'epoch': '1.547'}
{'loss': '0.08968', 'grad_norm': '0.5147', 'learning_rate': '6.905e-05', 'entropy': '0.1326', 'num_tokens': '2.944e+05', 'mean_token_accuracy': '0.9782', 'epoch': '1.555'}
{'loss': '0.1834', 'grad_norm': '0.7119', 'learning_rate': '6.891e-05', 'entropy': '0.1818', 'num_tokens': '2.959e+05', 'mean_token_accuracy': '0.9536', 'epoch': '1.562'}
{'loss': '0.1945', 'grad_norm': '0.8558', 'learning_rate': '6.876e-05', 'entropy': '0.2006', 'num_tokens': '2.974e+05', 'mean_token_accuracy': '0.9584', 'epoch': '1.569'}
{'loss': '0.2615', 'grad_norm': '0.6806', 'learning_rate': '6.861e-05', 'entropy': '0.2066', 'num_tokens': '2.989e+05', 'mean_token_accuracy': '0.9584', 'epoch': '1.577'}
{'loss': '0.2007', 'grad_norm': '0.8148', 'learning_rate': '6.847e-05', 'entropy': '0.1932', 'num_tokens': '3.005e+05', 'mean_token_accuracy': '0.9506', 'epoch': '1.584'}
{'loss': '0.05359', 'grad_norm': '0.5197', 'learning_rate': '6.832e-05', 'entropy': '0.09242', 'num_tokens': '3.019e+05', 'mean_token_accuracy': '0.9827', 'epoch': '1.591'}
{'loss': '0.173', 'grad_norm': '0.6402', 'learning_rate': '6.818e-05', 'entropy': '0.2158', 'num_tokens': '3.033e+05', 'mean_token_accuracy': '0.9577', 'epoch': '1.599'}
{'loss': '0.2632', 'grad_norm': '0.7847', 'learning_rate': '6.803e-05', 'entropy': '0.239', 'num_tokens': '3.046e+05', 'mean_token_accuracy': '0.9461', 'epoch': '1.606'}
{'loss': '0.1986', 'grad_norm': '0.6484', 'learning_rate': '6.788e-05', 'entropy': '0.1851', 'num_tokens': '3.06e+05', 'mean_token_accuracy': '0.9551', 'epoch': '1.613'}
{'loss': '0.16', 'grad_norm': '0.6241', 'learning_rate': '6.774e-05', 'entropy': '0.197', 'num_tokens': '3.073e+05', 'mean_token_accuracy': '0.9618', 'epoch': '1.62'}  
{'loss': '0.1206', 'grad_norm': '0.766', 'learning_rate': '6.759e-05', 'entropy': '0.12', 'num_tokens': '3.088e+05', 'mean_token_accuracy': '0.9698', 'epoch': '1.628'} 
{'loss': '0.135', 'grad_norm': '0.6517', 'learning_rate': '6.745e-05', 'entropy': '0.1394', 'num_tokens': '3.102e+05', 'mean_token_accuracy': '0.9671', 'epoch': '1.635'}
{'loss': '0.2494', 'grad_norm': '0.8666', 'learning_rate': '6.73e-05', 'entropy': '0.2079', 'num_tokens': '3.118e+05', 'mean_token_accuracy': '0.9535', 'epoch': '1.642'}
{'loss': '0.2343', 'grad_norm': '0.6681', 'learning_rate': '6.715e-05', 'entropy': '0.2306', 'num_tokens': '3.133e+05', 'mean_token_accuracy': '0.9496', 'epoch': '1.65'}
{'loss': '0.1179', 'grad_norm': '0.7989', 'learning_rate': '6.701e-05', 'entropy': '0.1546', 'num_tokens': '3.148e+05', 'mean_token_accuracy': '0.9604', 'epoch': '1.657'}
{'loss': '0.1697', 'grad_norm': '0.6452', 'learning_rate': '6.686e-05', 'entropy': '0.1621', 'num_tokens': '3.162e+05', 'mean_token_accuracy': '0.9658', 'epoch': '1.664'}
{'loss': '0.2691', 'grad_norm': '0.9423', 'learning_rate': '6.672e-05', 'entropy': '0.2051', 'num_tokens': '3.177e+05', 'mean_token_accuracy': '0.952', 'epoch': '1.672'}
{'loss': '0.1404', 'grad_norm': '0.614', 'learning_rate': '6.657e-05', 'entropy': '0.1669', 'num_tokens': '3.191e+05', 'mean_token_accuracy': '0.9697', 'epoch': '1.679'}
{'loss': '0.1472', 'grad_norm': '0.6293', 'learning_rate': '6.642e-05', 'entropy': '0.1777', 'num_tokens': '3.205e+05', 'mean_token_accuracy': '0.964', 'epoch': '1.686'}
{'loss': '0.2082', 'grad_norm': '0.7481', 'learning_rate': '6.628e-05', 'entropy': '0.2185', 'num_tokens': '3.22e+05', 'mean_token_accuracy': '0.9588', 'epoch': '1.693'}
{'loss': '0.275', 'grad_norm': '0.8051', 'learning_rate': '6.613e-05', 'entropy': '0.2439', 'num_tokens': '3.236e+05', 'mean_token_accuracy': '0.9448', 'epoch': '1.701'}
{'loss': '0.1467', 'grad_norm': '0.7242', 'learning_rate': '6.599e-05', 'entropy': '0.1712', 'num_tokens': '3.248e+05', 'mean_token_accuracy': '0.9654', 'epoch': '1.708'}
{'loss': '0.1657', 'grad_norm': '0.7449', 'learning_rate': '6.584e-05', 'entropy': '0.171', 'num_tokens': '3.262e+05', 'mean_token_accuracy': '0.9671', 'epoch': '1.715'}
{'loss': '0.1141', 'grad_norm': '0.625', 'learning_rate': '6.569e-05', 'entropy': '0.157', 'num_tokens': '3.276e+05', 'mean_token_accuracy': '0.9694', 'epoch': '1.723'}
{'loss': '0.1034', 'grad_norm': '0.6529', 'learning_rate': '6.555e-05', 'entropy': '0.148', 'num_tokens': '3.289e+05', 'mean_token_accuracy': '0.9718', 'epoch': '1.73'}
{'loss': '0.2057', 'grad_norm': '0.667', 'learning_rate': '6.54e-05', 'entropy': '0.2243', 'num_tokens': '3.303e+05', 'mean_token_accuracy': '0.9514', 'epoch': '1.737'}
{'loss': '0.1257', 'grad_norm': '0.5769', 'learning_rate': '6.526e-05', 'entropy': '0.1552', 'num_tokens': '3.316e+05', 'mean_token_accuracy': '0.9693', 'epoch': '1.745'}
{'loss': '0.1593', 'grad_norm': '1.042', 'learning_rate': '6.511e-05', 'entropy': '0.1905', 'num_tokens': '3.33e+05', 'mean_token_accuracy': '0.9642', 'epoch': '1.752'}
{'loss': '0.1343', 'grad_norm': '0.6242', 'learning_rate': '6.496e-05', 'entropy': '0.183', 'num_tokens': '3.343e+05', 'mean_token_accuracy': '0.97', 'epoch': '1.759'} 
{'loss': '0.1065', 'grad_norm': '0.8454', 'learning_rate': '6.482e-05', 'entropy': '0.1355', 'num_tokens': '3.356e+05', 'mean_token_accuracy': '0.9723', 'epoch': '1.766'}
{'loss': '0.06835', 'grad_norm': '0.5005', 'learning_rate': '6.467e-05', 'entropy': '0.09909', 'num_tokens': '3.368e+05', 'mean_token_accuracy': '0.9827', 'epoch': '1.774'}
{'loss': '0.08352', 'grad_norm': '0.6663', 'learning_rate': '6.453e-05', 'entropy': '0.1211', 'num_tokens': '3.38e+05', 'mean_token_accuracy': '0.9783', 'epoch': '1.781'}
{'loss': '0.0795', 'grad_norm': '0.7457', 'learning_rate': '6.438e-05', 'entropy': '0.09809', 'num_tokens': '3.394e+05', 'mean_token_accuracy': '0.9803', 'epoch': '1.788'}
{'loss': '0.1469', 'grad_norm': '1.23', 'learning_rate': '6.423e-05', 'entropy': '0.1561', 'num_tokens': '3.408e+05', 'mean_token_accuracy': '0.9629', 'epoch': '1.796'}
{'loss': '0.1647', 'grad_norm': '0.8419', 'learning_rate': '6.409e-05', 'entropy': '0.1773', 'num_tokens': '3.423e+05', 'mean_token_accuracy': '0.9611', 'epoch': '1.803'}
{'loss': '0.2484', 'grad_norm': '1.167', 'learning_rate': '6.394e-05', 'entropy': '0.203', 'num_tokens': '3.436e+05', 'mean_token_accuracy': '0.9496', 'epoch': '1.81'} 
{'loss': '0.1911', 'grad_norm': '0.7553', 'learning_rate': '6.38e-05', 'entropy': '0.1813', 'num_tokens': '3.449e+05', 'mean_token_accuracy': '0.9557', 'epoch': '1.818'}
{'loss': '0.1888', 'grad_norm': '0.8445', 'learning_rate': '6.365e-05', 'entropy': '0.2074', 'num_tokens': '3.464e+05', 'mean_token_accuracy': '0.9536', 'epoch': '1.825'}
{'loss': '0.1231', 'grad_norm': '0.7962', 'learning_rate': '6.35e-05', 'entropy': '0.1473', 'num_tokens': '3.477e+05', 'mean_token_accuracy': '0.9697', 'epoch': '1.832'}
{'loss': '0.2045', 'grad_norm': '0.6757', 'learning_rate': '6.336e-05', 'entropy': '0.2074', 'num_tokens': '3.491e+05', 'mean_token_accuracy': '0.9524', 'epoch': '1.839'}
{'loss': '0.08832', 'grad_norm': '0.6755', 'learning_rate': '6.321e-05', 'entropy': '0.1215', 'num_tokens': '3.505e+05', 'mean_token_accuracy': '0.9722', 'epoch': '1.847'}
{'loss': '0.1224', 'grad_norm': '0.7906', 'learning_rate': '6.307e-05', 'entropy': '0.1484', 'num_tokens': '3.518e+05', 'mean_token_accuracy': '0.9639', 'epoch': '1.854'}
{'loss': '0.1432', 'grad_norm': '0.7801', 'learning_rate': '6.292e-05', 'entropy': '0.1495', 'num_tokens': '3.531e+05', 'mean_token_accuracy': '0.9739', 'epoch': '1.861'}
{'loss': '0.08802', 'grad_norm': '0.5835', 'learning_rate': '6.277e-05', 'entropy': '0.1192', 'num_tokens': '3.546e+05', 'mean_token_accuracy': '0.9789', 'epoch': '1.869'}
{'loss': '0.09398', 'grad_norm': '0.569', 'learning_rate': '6.263e-05', 'entropy': '0.1183', 'num_tokens': '3.559e+05', 'mean_token_accuracy': '0.9754', 'epoch': '1.876'}
{'loss': '0.226', 'grad_norm': '0.9086', 'learning_rate': '6.248e-05', 'entropy': '0.2295', 'num_tokens': '3.571e+05', 'mean_token_accuracy': '0.9462', 'epoch': '1.883'}
{'loss': '0.1689', 'grad_norm': '0.6878', 'learning_rate': '6.234e-05', 'entropy': '0.1434', 'num_tokens': '3.584e+05', 'mean_token_accuracy': '0.9602', 'epoch': '1.891'}
{'loss': '0.1837', 'grad_norm': '0.7503', 'learning_rate': '6.219e-05', 'entropy': '0.1814', 'num_tokens': '3.599e+05', 'mean_token_accuracy': '0.9638', 'epoch': '1.898'}
{'loss': '0.2174', 'grad_norm': '0.8149', 'learning_rate': '6.204e-05', 'entropy': '0.1896', 'num_tokens': '3.615e+05', 'mean_token_accuracy': '0.9534', 'epoch': '1.905'}
{'loss': '0.1349', 'grad_norm': '0.6014', 'learning_rate': '6.19e-05', 'entropy': '0.1448', 'num_tokens': '3.627e+05', 'mean_token_accuracy': '0.9733', 'epoch': '1.912'}
{'loss': '0.05935', 'grad_norm': '0.5006', 'learning_rate': '6.175e-05', 'entropy': '0.0959', 'num_tokens': '3.641e+05', 'mean_token_accuracy': '0.9854', 'epoch': '1.92'}
{'loss': '0.1722', 'grad_norm': '0.6979', 'learning_rate': '6.161e-05', 'entropy': '0.2036', 'num_tokens': '3.656e+05', 'mean_token_accuracy': '0.9564', 'epoch': '1.927'}
{'loss': '0.1875', 'grad_norm': '0.849', 'learning_rate': '6.146e-05', 'entropy': '0.1715', 'num_tokens': '3.669e+05', 'mean_token_accuracy': '0.9546', 'epoch': '1.934'}
{'loss': '0.1561', 'grad_norm': '0.7025', 'learning_rate': '6.131e-05', 'entropy': '0.1866', 'num_tokens': '3.683e+05', 'mean_token_accuracy': '0.9621', 'epoch': '1.942'}
{'loss': '0.1397', 'grad_norm': '0.9209', 'learning_rate': '6.117e-05', 'entropy': '0.1687', 'num_tokens': '3.696e+05', 'mean_token_accuracy': '0.9614', 'epoch': '1.949'}
{'loss': '0.1296', 'grad_norm': '0.8146', 'learning_rate': '6.102e-05', 'entropy': '0.1711', 'num_tokens': '3.71e+05', 'mean_token_accuracy': '0.9617', 'epoch': '1.956'}
{'loss': '0.2168', 'grad_norm': '1.084', 'learning_rate': '6.088e-05', 'entropy': '0.1833', 'num_tokens': '3.722e+05', 'mean_token_accuracy': '0.9591', 'epoch': '1.964'}
{'loss': '0.1505', 'grad_norm': '1.431', 'learning_rate': '6.073e-05', 'entropy': '0.165', 'num_tokens': '3.737e+05', 'mean_token_accuracy': '0.9667', 'epoch': '1.971'}
{'loss': '0.1874', 'grad_norm': '1.071', 'learning_rate': '6.058e-05', 'entropy': '0.1967', 'num_tokens': '3.75e+05', 'mean_token_accuracy': '0.9599', 'epoch': '1.978'}
{'loss': '0.2392', 'grad_norm': '1.005', 'learning_rate': '6.044e-05', 'entropy': '0.2406', 'num_tokens': '3.766e+05', 'mean_token_accuracy': '0.9452', 'epoch': '1.985'}
{'loss': '0.1567', 'grad_norm': '0.9448', 'learning_rate': '6.029e-05', 'entropy': '0.1628', 'num_tokens': '3.78e+05', 'mean_token_accuracy': '0.9622', 'epoch': '1.993'}
{'loss': '0.1333', 'grad_norm': '0.6253', 'learning_rate': '6.015e-05', 'entropy': '0.16', 'num_tokens': '3.793e+05', 'mean_token_accuracy': '0.9626', 'epoch': '2'}    
 40%|███████████████████████████████████████████████████▌                                                                             | 274/685 [29:38<43:59,  6.42s/it]/Users/jhyun/my-ai-helper/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
{'loss': '0.107', 'grad_norm': '0.7165', 'learning_rate': '6e-05', 'entropy': '0.1565', 'num_tokens': '3.805e+05', 'mean_token_accuracy': '0.9742', 'epoch': '2.007'}   
{'loss': '0.1395', 'grad_norm': '0.792', 'learning_rate': '5.985e-05', 'entropy': '0.1415', 'num_tokens': '3.819e+05', 'mean_token_accuracy': '0.9671', 'epoch': '2.015'}
{'loss': '0.07857', 'grad_norm': '0.7002', 'learning_rate': '5.971e-05', 'entropy': '0.1076', 'num_tokens': '3.833e+05', 'mean_token_accuracy': '0.9805', 'epoch': '2.022'}
{'loss': '0.0643', 'grad_norm': '0.6405', 'learning_rate': '5.956e-05', 'entropy': '0.1078', 'num_tokens': '3.846e+05', 'mean_token_accuracy': '0.9845', 'epoch': '2.029'}
{'loss': '0.1322', 'grad_norm': '1.021', 'learning_rate': '5.942e-05', 'entropy': '0.1761', 'num_tokens': '3.859e+05', 'mean_token_accuracy': '0.9671', 'epoch': '2.036'}
{'loss': '0.1449', 'grad_norm': '0.8314', 'learning_rate': '5.927e-05', 'entropy': '0.1623', 'num_tokens': '3.871e+05', 'mean_token_accuracy': '0.9611', 'epoch': '2.044'}
{'loss': '0.1408', 'grad_norm': '0.9273', 'learning_rate': '5.912e-05', 'entropy': '0.1407', 'num_tokens': '3.884e+05', 'mean_token_accuracy': '0.9693', 'epoch': '2.051'}
{'loss': '0.1195', 'grad_norm': '0.7035', 'learning_rate': '5.898e-05', 'entropy': '0.1553', 'num_tokens': '3.898e+05', 'mean_token_accuracy': '0.9656', 'epoch': '2.058'}
{'loss': '0.08891', 'grad_norm': '0.6382', 'learning_rate': '5.883e-05', 'entropy': '0.1404', 'num_tokens': '3.912e+05', 'mean_token_accuracy': '0.9799', 'epoch': '2.066'}
{'loss': '0.1946', 'grad_norm': '0.6435', 'learning_rate': '5.869e-05', 'entropy': '0.1964', 'num_tokens': '3.928e+05', 'mean_token_accuracy': '0.9599', 'epoch': '2.073'}
{'loss': '0.06431', 'grad_norm': '0.4575', 'learning_rate': '5.854e-05', 'entropy': '0.1165', 'num_tokens': '3.942e+05', 'mean_token_accuracy': '0.9857', 'epoch': '2.08'}
{'loss': '0.1561', 'grad_norm': '0.7696', 'learning_rate': '5.839e-05', 'entropy': '0.1419', 'num_tokens': '3.957e+05', 'mean_token_accuracy': '0.9722', 'epoch': '2.088'}
{'loss': '0.1115', 'grad_norm': '0.6527', 'learning_rate': '5.825e-05', 'entropy': '0.1469', 'num_tokens': '3.97e+05', 'mean_token_accuracy': '0.9722', 'epoch': '2.095'}
{'loss': '0.1506', 'grad_norm': '0.7616', 'learning_rate': '5.81e-05', 'entropy': '0.2038', 'num_tokens': '3.984e+05', 'mean_token_accuracy': '0.9664', 'epoch': '2.102'}
{'loss': '0.09474', 'grad_norm': '0.6226', 'learning_rate': '5.796e-05', 'entropy': '0.1316', 'num_tokens': '3.996e+05', 'mean_token_accuracy': '0.975', 'epoch': '2.109'}
{'loss': '0.1195', 'grad_norm': '0.5934', 'learning_rate': '5.781e-05', 'entropy': '0.1504', 'num_tokens': '4.01e+05', 'mean_token_accuracy': '0.9684', 'epoch': '2.117'}
{'loss': '0.08118', 'grad_norm': '0.8074', 'learning_rate': '5.766e-05', 'entropy': '0.1169', 'num_tokens': '4.023e+05', 'mean_token_accuracy': '0.9805', 'epoch': '2.124'}
{'loss': '0.1788', 'grad_norm': '1.146', 'learning_rate': '5.752e-05', 'entropy': '0.1465', 'num_tokens': '4.038e+05', 'mean_token_accuracy': '0.9623', 'epoch': '2.131'}
{'loss': '0.1381', 'grad_norm': '0.8613', 'learning_rate': '5.737e-05', 'entropy': '0.1543', 'num_tokens': '4.052e+05', 'mean_token_accuracy': '0.9719', 'epoch': '2.139'}
{'loss': '0.09512', 'grad_norm': '0.7779', 'learning_rate': '5.723e-05', 'entropy': '0.1091', 'num_tokens': '4.068e+05', 'mean_token_accuracy': '0.977', 'epoch': '2.146'}
